,0
0,이 책은 Do it 점프 투 파이썬 의 박응용 저자가 그동안 수많은 독자에게 받았던 이제 무엇을 공부해야 할까요 파이썬으로 무엇을 해볼 수 있을까요 와 같은 질문에 대한 대답이다
1,파이썬의 가장 큰 장점은 여러 분야에 걸쳐 방대한 라이브러리가 이미 만들어져 있다는 것이다
2,하지만 어떤 라이브러리가 있는지 모른다면 제대로 쓸 수 없다
3,즉 파이썬 라이브러리 지식이 많을수록 파이썬을 자유자재로 사용할 수 있다
4,이 책은 여러분이 파이썬이라는 넓은 바다를 자유롭게 항해할 때 꼭 필요한 나침반이 되고자 한다
5,효율적으로 공부할 수 있도록 실무에서 자주 쓰는 파이썬 라이브러리 개를 엄선했다
6,라이브러리마다 스토리가 담긴 예제가 있어 라이브러리를 언제 어떻게 사용해야 하는지 배울 수 있다
7,문제를 해결하는 경험을 하나씩 쌓다 보면 파이썬으로 무엇을 할 수 있고 그중 하고 싶은 게 무엇인지 스스로 깨닫게 될 것이다
8,소프트웨어 개발은 예전보다 어렵다
9,개발자로서 지속적으로 변화하는 기술 트렌드를 따라잡아야 할 뿐 아니라 소프트웨어 이면의 비즈니스 도메인도 이해해야 한다
10,이 실용서는 비즈니스 도메인을 분석하고 비즈니스 전략을 이해하는 것은 물론이고 무엇보다 비즈니스 요건에 맞춰 소프트웨어 설계를 조정하기 위한 일련의 핵심 패턴 원리 실천법을 알아본다
11,저자는 실무를 통해 견고한 비즈니스 로직이 어떻게 구현되는지 그리고 어떻게 미래지향적인 소프트웨어 설계와 아키텍처가 되는지를 보여준다
12,독자는 비즈니스 요구사항을 충족하는 아키텍처 의사결정을 내리기 위한 도메인 주도 설계 DDD Domain Driven 디자인 와 다른 방법론과의 관계를 검토하게 될 것이다
13,또한 스타트업에서 DDD를 구현한 실제 실무 사례를 살펴볼 것이다
14,이 책에서 다루는 내용
15,개발하는 시스템이 회사의 경쟁 전략에 어떻게 부합하는지 알아보기 위해 회사의 비즈니스 도메인을 분석하는 방법
16,비즈니스 요건을 충족하는 효과적인 소프트웨어 솔루션을 설계하기 위해 DDD의 전략적 전술적 도구를 사용하는 방법
17,당면한 비즈니스 도메인에 대한 공동의 이해를 쌓는 법
18,시스템을 바운디드 컨텍스트로 분해하는 법
19,브라운필드 프로젝트에서 DDD를 점진적으로 도입하는 법
20,이 책은 컨테이너 기술이 어렵게 느껴지는 엔지니어나 백엔드 기술에 자신이 없는 분들을 위한 도커 입문서입니다
21,자세한 그림과 친절한 실습을 통해 리눅스 지식이나 서버 구축 경험이 없어도 컨테이너와 도커 쿠버네티스에 대한 지식을 쉽게 이해할 수 있습니다
22,도커의 개념부터 동작 방식 명령어 사용법 컨테이너 운용 나아가 도커 컴포즈와 쿠버네티스까지 컨테이너 기술에 대한 배경지식이 전혀 없는 분들도 도커와 쿠버네티스의 개념과 기초 사용법을 익힐 수 있도록 안내합니다
23,도커나 쿠버네티스를 배우고 싶은 초보자라면 철저하게 입문자의 눈높이에 맞춘 이 책으로 도커의 세계에 첫발을 내디뎌 보세요
24,메타버스 플랫폼
25,이프랜드 제페토 게더타운 활용 가이드
26,메타버스의 사례를 시작으로 플랫폼의 활용방법 등을 쉽게 풀어놓았다
27,출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다
28,윈도우 의 경우 사운드 연결이 없을시 동영상 재생에 오류가 발생할 수 있습니다
29,이어폰 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다
